original_index,split_source,standard,A,B,C,winner
8374,train,"Khi nãy, bố tôi mới bắt được con chuột lớn hơn một ký kìa, đang nướng xông khói nhìn thèm lắm.","My dad just caught a rat that weighed over a kilogram; he's grilling it now, and it looks so tempting.","A moment ago, my father caught a rat weighing over a kilogram; it's being smoked and looks delicious.","Just a little while ago, my dad caught a rat weighing over a kilogram, and it's being smoked. I'm really craving it.",A
8298,train,tao chỉ nói là tao hết ảnh rồi đấy nhé,"I'm just saying I've run out of photos, okay?",I'm just saying that I've run out of photos.,"I'm just telling you that I've run out of photos, okay?",A
10109,train,Lá cờ Việt Nam sao mà hình chữ nhật dựng đứng vậy nhỉ?,Why is the Vietnamese flag a vertical rectangle?,Why is the Vietnamese flag a vertical rectangle?,I wonder why the Vietnamese flag is a vertical rectangle like that?,C
5589,train,hôm nào làm cái này được này,I can do this sometime.,I can do this some day.,Someday I'll be able to make this,A
9417,train,Chút đứng nhà nhìn ra xem thấy không nhé,Let's stand at home and look out to see if we can see anything.,"Wait a bit, stand at the house and look out to see if you can see it.","Wait, I'm standing at home looking out. Can you see it?",B
5644,train,"Như tôi rì, ai mà bắt được.","As for me, nobody can catch me.","Like me, who could possibly catch me.","As for me, no one could catch it.",A
5060,train,đây rồi chứ đâu nữa,"It's right here, where else could it be?","It's right here, where else would it be?","Here it is, right?",B
1729,train,Gu tao chúng mày ơi mong chồng tao không thấy bình luận này.,"Hey guys, I hope my husband doesn't see this comment.","This is my taste, guys; I hope my husband doesn't see this comment.","Hey my friends, I hope my husband doesn't see this comment.",B
7696,train,"không đi thì thôi, mày làm giọng đấy đi nhé","If you don't want to go, then don't, but keep using that tone of voice.","Fine, if you're not going, then don't. Go ahead and keep using that tone.","If you're not going, then forget it. You go do that impression, okay?",B
2205,train,Thấy tôi không biết rồi lừa hay sao,Did you think I didn't know and then try to trick me?,Do they think I don't know and are trying to trick me or something?,They saw that I didn't know and then tricked me or something,A
9212,train,bà ấy leo cây thấy cưng khủng khiếp.,She looked incredibly cute climbing the tree.,She looks incredibly cute climbing the tree.,She climbed a tree and found it incredibly cute.,B
9174,train,Cô coi làm về mắc lụt đó cô.,"She's working on a project about flooding, ma'am.","Teacher, please make a video about flooding.","You treat it as something about flooding, you.",B
10615,train,một ký là 150 nghìn là đúng rồi chứ lừa chi nhỉ?,"150,000 VND per kilogram is correct, why would they cheat?","150 thousand per kilo is correct, so why bother scamming?","One kilogram is 150 thousand, that's correct, right? I'm not lying, am I?",
8674,train,Bố mẹ làm gì mà giàu vậy nhỉ?,How did my parents become so rich?,What do my parents do that makes them so rich?,I wonder what my parents do to be so rich?,B
5067,train,"20/10 không tặng hoa cho nó, bảo sao.",No wonder she didn't get flowers on October 20th.,"I didn't give her flowers on October 20th, so no wonder.",No wonder — [they] didn't give flowers on October 20th.,B
2375,train,"ngọt ông nội tao ấy chứ ngọt, chua lè ra","My grandfather's sweet stuff is so sweet, it's practically sour.","Sweet my foot, it's sour as hell.","It's supposed to be sweet, the one from my grandfather, but this one's extremely sour",C
5554,train,Trời mà màu này thì hiểu bão đến mức nào rồi.,"If the sky is this color, you can imagine how serious the storm is.","If the sky is this color, you can imagine how severe the storm is.","The sky is this color, so you can tell how severe the storm must be.",B
7974,train,Ông ấy biểu cảm quá làm gì cho người ta hiểu nhầm vậy!,He's being so expressive that it's causing misunderstandings!,He's being too expressive; why do that and make people misunderstand!,Why does he express himself so much that it makes people misunderstand!,B
8273,train,giúp ông ấy một phát cho ông ấy về tới Cà Mau đi bạn,"Give him a hand so he can get back to Ca Mau, please.","Give him a hand so he can get back to Ca Mau, friend.","Help him once and get him all the way to Cà Mau, friend",B
9273,train,"tìm đường được tao con mày, chỉ tao một chục lần cũng vậy thôi","Find the way for me, your son; even if you showed me the way ten times, it would still be the same.","Can you even find the way, you brat? I've shown you a dozen times and it's still the same.","Find your own way, I've figured it out. You showing me a dozen times is still the same anyway.",A
3202,train,Sao hôm qua thấy trang nào viết nói chắc người được mời với dân cư vincom mới được chơi mà?,Yesterday I saw a website saying that only invited guests and Vincom residents were allowed to play.,Why did I see some page writing yesterday saying that probably only invited people and Vincom residents could play?,How come I saw a page yesterday that said only invited guests and Vincom residents are allowed to play?,B
642,train,Tao khiếp đến già,I'm terrified for life.,I'm terrified for the rest of my life.,I'm scared stiff for the rest of my life,B
10611,train,Tại sao chạy lạng dữ vậy?,Why are you driving so erratically?,Why are you running so erratically?,Why am I running so fast?,A
10401,train,Hôm nay hàng điện tử nhanh hư quá.,Electronic devices are breaking down so quickly these days.,Electronic goods these days break too quickly.,Electronics these days break down so easily.,A
1755,train,Mày ngứa chỗ nào vậy? Ngứa trên hay dưới?,Where are you itching? Is it above or below?,Where are you itching? Is it on the top or the bottom?,Where are you itchy? Itchy on top or below?,A
7628,train,lúc đấy cũng muốn đỡ lắm mà không biết đỡ sao,"I really wanted to help at that moment, but I didn't know how.","At that time, I also wanted to help, but I didn't know how.","At that time, I also really wanted to help but didn't know how to.",C
9214,train,năm nay đi nữa không này.,Are you going again this year?,Are we going again this year?,Are we going again this year?,B
4096,train,Mưa như này mà có sinh tố lúa mạch với dàn karaoke nhỉ?,"With this kind of rain, how about some barley smoothie and karaoke?","With rain like this, it would be great to have some barley smoothies and a karaoke set, wouldn't it?","It's raining like this, I wish I had some barley malt and a karaoke set.",B
6386,train,Cha là trời ăn cái gì mà nhiều thế.,My father is like heaven; what did he eat to have so much?,"Good heavens, what on earth are you eating so much of?","I eat like there's no tomorrow, what am I even eating that much?",B
8677,train,Nói đi có bao giờ giăng màn không.,"Tell me, have you ever put up a curtain?","Tell me, do you ever put up a mosquito net?","Tell me, have you ever put on a show?",B
7305,train,Cứ lo đi thiện nguyện ở đâu chứ quê nhà đang cần này.,"You can worry about volunteering elsewhere, but your hometown is in need right now.",Just keep worrying about doing charity work elsewhere while my hometown is in need.,Why bother doing charity elsewhere when our hometown is in need right now.,C
10113,train,Món này mà ăn là miền Bắc nghiện luôn. Rất tuyệt vời luôn Hà Tĩnh ơi.,"Once you try this dish, people in Northern Vietnam will be hooked. It's absolutely amazing, Ha Tinh!","If people in the North eat this dish, they'll be addicted. It's absolutely wonderful, Ha Tinh!","Once you try this dish, people from the North will get completely hooked. Truly wonderful, Hà Tĩnh.",A
4299,train,"Chắc hoãn đi, giờ vàng đắt thế này tiền đâu mà mua như họ.","Let's postpone it, gold is so expensive right now, where would we get the money to buy it like they do?","I should probably postpone it; gold is so expensive right now, where would I get the money to buy it like they do.","Probably have to postpone it, with gold prices this high, I don't have the money to buy like they do.",
1225,train,"Mấy thằng xe khách này thích tấp đâu là tấp đó, xử lý mạnh tay vào",These bus drivers just pull over wherever they want; they need to be dealt with severely.,These passenger bus drivers like to pull over wherever they want; deal with them severely.,"These damn bus drivers just stop wherever they feel like it, need to crack down on them hard",A
722,train,Gì mà bức xúc vậy tụi mày?,What are you guys so upset about?,Why are you guys so frustrated?,What's making you guys so upset?,A
2662,train,"chứ tại sao ở đây đang nắng, về làm gì cho mưa toàn tập.",Why would we go back when it's sunny here and it's going to rain all day?,"But why would I go back when it's sunny here, only to have it rain the whole time?",But why would I go back when it's sunny here? Why go back just to get rain non-stop.,B
7623,train,Nhìn đỡ đi hôm nào về ăn,It looks better when we get home to eat.,It looks better; come back and eat some day.,Next time we go eat together,B
5888,train,Thấy nó là thấy con chấy đấy.,Seeing it means seeing a louse.,Seeing it is like seeing a louse.,"The moment I see it, it's a headache.",B
8701,train,"Cho em hỏi là chùa ở đoạn nào vậy ạ, gia đình em muốn nhận nuôi bé",Could you tell me where the temple is located? My family wants to adopt the child.,May I ask where the temple is located? My family would like to adopt the baby.,I'd like to ask which section the temple is located at? My family would like to adopt the child.,B
318,train,chị em hỏi bạn nay bạn ở đâu vậy?,"My sisters asked me, ""Where are you today?""","My sister and I asked you, where are you today?",Sisters are asking where you are today?,B
4212,train,lo về phụ đi chứ 3 ngày nữa không còn lúa để phụ đâu.,"Get some extra rice to help out, because in three days there won't be any left.","Hurry up and come help, because in three days there won't be any more rice left to help with.","Just come back to help, in 3 more days there won't be any rice left to harvest.",B
9506,train,"Thôi đi, từ giờ trở đi để tui tra bản đồ, cô chở.","Okay, from now on I'll check the map, you drive.","Stop it, from now on I'll check the map and you drive.","Forget it, from now on let me check the map, you drive.",C
7399,train,Bà về Quảng Ninh làm gì để cho tan hoang hết như này? Thuỷ về nước cũng về.,"What was she doing in Quang Ninh that caused all this devastation? Thuy returned to the country, and so did she.","What did you do when you went back to Quang Ninh to make everything so devastated like this? Thuy, go back to your country too.",Why did you come back to Quảng Ninh just to leave everything in ruins like this? Thuỷ came back to the country too.,C
10145,train,"Ăn ram không, tôi đóng gói gửi vô cho, vô đấy rồi ăn mấy thì chiên.","Do you want some spring rolls? I'll pack them up and send them to you. Once you get there, you can fry as many as you want.","Do you want some ram? I'll pack them and send them to you; once you're there, just fry a few whenever you want to eat.","Do you want some fried spring rolls? I'll pack them and send them to you, put them in there and fry however many you want to eat.",A
5947,train,Có lẽ chưa thấy chúng mày ạ.,You probably haven't seen them yet.,"Maybe I haven't seen them yet, guys.",I guess I haven't seen you guys yet.,C
2751,train,Tay lái ẩu nhỉ?,"That's a reckless driver, isn't it?","Reckless driving, isn't it?","What a reckless driver, huh?",C
8787,train,có biết lái đâu mà mua?,"I don't even know how to drive, so how can I buy one?","I don't even know how to drive, so why would I buy one?",Do you know where I can find a seller/dealer?,B
6921,train,em hơi bị nghiện bún nước lèo ở quán này luôn đấy chị.,"I'm totally addicted to the noodle soup at this place, sis.",I'm actually kind of addicted to the bún nước lèo at this restaurant.,"I'm a bit addicted to bún nước lèo at this place, honestly, sis.",A
1930,train,"anh giờ dưới ngoại cả kho, ưng lấy mấy lấy chứ lấy chi két uống không đủ anh à","He has a whole warehouse full of drinks now, take as many as you want, why take a whole case when there's not enough for you to drink?","I'm currently at the warehouse in the countryside; if you want to take some, just take a few, because taking a whole crate isn't enough for me to drink.","I'm currently at my uncle's place with the whole storage, still taking some but there's not enough to drink, bro.",B
900,train,Không biết xấu hổ còn nói,Shameless to even speak,"Shameless, and yet still talking.","Shameless, still talking",B
6972,train,"Còn gì nữa đâu mà, đứt luôn rồi.","There's nothing left, it's completely broken.","There's nothing left, it's completely broken.",There's nothing left anymore. It's completely over.,C
9573,train,năm nay lúa được mùa không Thành phố Đông Hà ơi?,"Is the rice harvest good this year, Dong Ha City?","Was the rice harvest good this year, Dong Ha City?","This year, did you have a good rice harvest, Dong Ha City?",A
4676,train,Cù lao Mỹ Hòa Hưng này.,This is My Hoa Hung islet.,This is My Hoa Hung islet.,This Cù lao Mỹ Hòa Hưng.,A
6611,train,sao không cho nhau số mà khó khăn vậy nhỉ?,Why is it so difficult to just exchange phone numbers?,Why don't we just exchange numbers instead of making it so difficult?,Why is it so hard to exchange numbers with each other?,A
36,train,Nếu ai cũng giặt được thì tiệm họ mở ra làm gì vậy anh? Anh nói như thế nào cho nó dễ nghe tí,"If everyone could do their laundry, what would be the point of those shops opening? Could you put it in a more palatable way?","If everyone could do the laundry themselves, why would they open shops, sir? Could you say that in a slightly more polite way?","If anyone can do the laundry themselves, then what's the point of them opening a laundry shop? How should I phrase it to make it sound nicer?",
9533,train,Gì gớm vậy này?,What a disgusting thing!,What's so gross about this?,How disgusting is this?,A
353,train,Nhổ 4 cái răng mà mệt hết cả đầu ấy,Pulling out four teeth was such a headache.,Getting 4 teeth pulled has left me feeling completely exhausted.,"I had 4 teeth pulled and I'm completely exhausted, you know",B
6528,train,Sao khi nào cũng thấy người Hà Tĩnh thế?,Why do I always see people from Ha Tinh?,Why is it that I always see people from Ha Tinh?,Why do I always see people from Hà Tĩnh like this?,A
1462,train,Nhất chứ nhì là giận Thu Phan nhỉ?,"Of all people, I'm most angry at Thu Phan, right?","First of all, you're angry with Thu Phan, right?","First place, not second - you're upset with Thu Phan, right?",A
8623,train,"thấy chưa, hôm nọ mới bảo nhau hôm nào rủ anh Mỹ đi ăn, anh Mỹ nhắn luôn tôi này.","See? The other day we were talking about inviting Mr. My out for a meal, and he messaged me right away!","See, the other day we just told each other to invite Mr. My to eat sometime, and now Mr. My has messaged me.","See, right? The other day we were just talking about inviting Uncle Mỹ to go eat sometime, and Uncle Mỹ already messaged me.",A
719,dev,Làm thế thì chỉ có chim với mấy lão đi máy bay mới thấy.,Only birds and old airplane passengers would see that.,"Doing that, only birds and those people on planes would see it.","If it's done that way, only birds and people taking planes would see it.",B
346,dev,tụ tập uống một ly giao lưu tìm người yêu này.,"Gathering for a drink, socializing, and finding a partner.",Gathering for a drink to socialize and find a lover.,Gathering for a drink to socialize and find dates.,C
1168,dev,cọng dây chuyền phải to khủng khiếp mới uy tín.,The necklace has to be incredibly huge to be considered prestigious.,The necklace has to be incredibly huge to be prestigious.,The chain necklace needs to be massive to look credible.,B
503,dev,Dự kiến khu này tầm khi nào xong hả bạn?,When do you expect this area to be completed?,Around when is this area expected to be finished?,When is this area expected to be completed?,B
37,dev,bạn thấy có chị nào chưa có chồng đâu nhỉ?,Do you see any women who are still unmarried?,Do you see any women who aren't married yet?,Do you notice that there aren't any unmarried women around?,B
400,dev,Nóng quá con nhảy xuống tắm có tí mà căng thế.,"It was so hot, I just jumped in for a quick swim, why are you making such a fuss?","It's so hot that I jumped in for a quick swim, but why is everyone making such a big deal out of it?","It's so hot that I'm jumping in to take a shower, but there's only a tiny bit of water and it's already so cramped.",A
559,dev,"Cô xuống đi, em chở đi chơi.","Get out of here, I'll give you a ride.","Come down, I'll take you out.","Come down, I'll take you out for fun.",B
367,dev,"Con được tí thế này mà bảo con lái cả cái xe to vậy, bố có lẽ bị gì ấy","""You're so small, and you're telling me to drive such a big car? Dad must be crazy.""",I'm only this small and yet you're telling me to drive such a big car; maybe something is wrong with Dad.,"[My] kid is only this small, yet telling [me] to drive such a big vehicle, dad must have lost his mind.",B
1014,dev,Không có ai đi cùng chứ!,No one's coming with you!,"No one is coming along, right?","Nobody's going with me, right!",C
453,dev,hôm nào dắt tôi về Kiên Giang chuyến nào,When are you going to take me to Kien Giang for a trip?,When can you take me on a trip back to Kien Giang?,"Take me to Kiên Giang sometime, when can we make a trip",B
321,dev,Bạn này chắc bị gì. Đăng lên cũng phải nói rõ là vụ gì chứ.,This person must be crazy. They should at least clearly state what the issue is when they post something.,"This person must be something. When posting, they should clearly state what the matter is.",This person must be out of their mind. Posting without even explaining what the situation is about.,A
1128,dev,bởi vậy cho nên đi gì thì đi cẩn thận vào,"Therefore, whatever you do, be careful.","That's why, wherever you go, be careful.","so whatever you do, just be careful",C
954,dev,"có lẽ đời tôi không kịp đi, tôi nhường đời con đời cháu của tôi.",Perhaps I won't live long enough to go; I'll leave it to my children and grandchildren.,Perhaps I won't have time to go in my lifetime; I'll leave it to the lives of my children and grandchildren.,"Perhaps my life couldn't make it in time, so I give way to my children's and grandchildren's lives.",A
755,dev,"Quên thêm tên mình nhỉ, mấy ngày chờ mòn mỏi","I forgot to add my name, I've been waiting so long!","I forgot to add my name, huh, after waiting longingly for several days.","Forgot to add my name, huh. These past few days of waiting restlessly.",A
399,dev,Thấy bình thường vậy. Tao đi buổi tối đâu có ai.,It seems normal to me. I went out at night and there was nobody around.,"It seems normal. When I go out at night, there's no one around.","Looks normal enough. I go in the evening, there's no one there.",B
418,dev,từ giờ chị đi đi về về cũng tiện hơn này chị ơi.,"It'll be much more convenient for you to travel back and forth now, ma'am.","From now on, it'll be more convenient for you to commute back and forth, sister.","From now on, it'll be more convenient for you to come and go too, sis.",C
521,dev,Thấy vậy chứ sửa toàn bộ cả rồi.,"It may look like that, but everything has been completely fixed.","It may seem that way, but everything has already been fixed.","It might look that way, but actually everything's been fixed already.",C
498,dev,"em bữa nay lên xóm bãi rồi à, tội em nhỉ?","So you've gone to the riverside village today, poor thing?","You went up to the riverside settlement today, huh? Poor you.","I already went to xóm bãi today, poor me right?",A
557,dev,Bệnh gì nghe lạ vậy bà con,"What kind of strange disease is that, folks?","What strange-sounding disease is this, everyone?","What kind of disease is that, folks?",B
1156,dev,lên đồ ngay xa chỗ chị em không nhỉ?,Should I get dressed up right away from my sisters?,"Should I get dressed up right now, or is it too far from where we are?",Should we get dressed up and go somewhere far from the girls?,C
492,test,Xã Lìa là xã nào vậy?,What commune is Lìa commune?,Which commune is Lia commune?,Which commune is Xã Lìa?,C
140,test,Nhìn thế thôi chứ vô trong có đông vậy đâu.,"It may look like it's crowded from the outside, but it's not that crowded inside.","It looks like that, but it's not actually that crowded inside.","It may look that way, but it's actually not that crowded inside.",C
380,test,Thôi ai chill thì chill chứ tôi thì chịu.,"Okay, let whoever wants to chill, chill, but I can't.","Whatever, those who want to chill can chill, but I can't stand it.","Whatever, anyone can chill if they want, but I can't.",
874,test,"xe nào chị lái cũng được, cần chi lái thử chú?? Chị cần cái thẻ thôi","I can drive any car, why would I need a test drive? I just need the card.","I can drive any car, why do I need a test drive?? I just need the card.","Any car I can drive is fine, why do I need to test drive? I just need the license.",B
39,test,Lụt kinh thế anh,"The flood is terrible, brother.","The flooding is terrible, man.","I'm so overwhelmed, bro",B
1159,test,đi lấy chăn về bán kìa.,Go get some blankets to sell.,Go get the blankets to sell.,Go get the blankets and come back to sell them.,C
293,test,"Cái gì vậy trời, chỗ nào cũng lụt hết nhỉ.","What the heck, everything's flooded everywhere!","What on earth, everywhere is flooded, isn't it?","Oh my god, it's flooded everywhere.",A
1570,test,mận nhà em sắp ăn được chưa nhỉ?,Are the plums from my garden almost ready to eat?,Are the plums at my house almost ready to eat?,I wonder if the plums at my place are almost ready to eat?,C
576,test,"Cha mẹ ở nhà bán rau cực khổ, con cái thế này đây","Parents work hard selling vegetables at home, and this is what their children end up with.","Parents at home struggle selling vegetables, and this is how the children are.","My parents work so hard selling vegetables, and the children turn out like this.",A
1492,test,Chưa đi bao giờ.,I've never been there before.,I've never been there.,Never been there.,A
1396,test,"nghe đồn đông lắm đấy anh, không biết chui vào lọt không nữa.","I heard it's going to be really crowded, I don't know if I'll even be able to squeeze through.","I heard it's very crowded, I don't know if I'll be able to squeeze in.","I've heard it's really crowded there, bro, not sure if we'll be able to squeeze in.",B
1449,test,ở đâu bạn cũng biết nhỉ.,"You know where it is, don't you?","You know everywhere, don't you?","You know everywhere, huh?",B
610,test,Vậy nên đôi này cũng li hôn rồi.,"So, that couple has divorced now.",So this couple has also divorced.,So this couple has also gotten divorced already.,B
738,test,"Cả năm được 1, 2 cái hẹn, mà 1 cái hẹn dài gần nửa ngày","I only get one or two dates a year, and each one lasts almost half a day.","I only get one or two dates a year, and one of them lasts nearly half a day.","Only got 1 or 2 dates the whole year, and one date lasts almost half a day.",B
921,test,à vậy thì ngày đó bận việc rồi,"Oh, then I was busy that day.","Oh, in that case, I'm busy on that day.",ah so i'm busy that day then,B
959,test,Chiều nào đi mua về mà làm ăn nhé?,"Let's go buy some ingredients this afternoon so we can start our business, okay?",Which afternoon should I go buy it and then get to work?,Which afternoon should we go buy some and eat together?,C
849,test,"có bạn nhé, mà mình thích uống Sài Gòn cơ","Yes, I do, but I prefer drinking Saigon-style coffee.","Yes, I do, but I prefer drinking Saigon.","I have a friend, but I actually like drinking Saigon [beer]",B
1398,test,nay trời mưa không có đi nghênh ngang ngoài đường nhé.,"It's raining today, so don't wander around outside.","It's raining today, so don't go strolling around the streets.","It's raining today, so don't go strolling around outside.",A
1137,test,Hôm trước tổ chức kế bên mà chưa có vào xem luôn.,"The event was held next door the other day, but I didn't get a chance to go see it.","It was organized right next door the other day, but I didn't even go in to see it.","The organization next door held an event the other day, but I haven't even had the chance to go in and check it out yet.",B
749,test,Lên rừng chơi không mày?,Want to go hiking in the forest?,Want to go to the forest for fun?,Do you wanna go up to the forest and hang out?,C
